"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2024","21,486.5","21,435.9","21,529.9","21,359.2","","1.99%"
"05/02/2024","21,066.7","20,986.7","21,107.8","20,765.4","","1.29%"
"05/01/2024","20,798.9","20,876.0","21,218.4","20,757.8","","-0.70%"
"04/30/2024","20,945.6","21,281.4","21,339.7","20,945.6","","-1.92%"
"04/29/2024","21,356.3","21,378.5","21,401.1","21,222.2","","0.36%"
"04/26/2024","21,279.0","21,096.3","21,344.4","21,056.5","","1.65%"
"04/25/2024","20,933.1","20,662.6","20,985.9","20,623.2","","-0.55%"
"04/24/2024","21,047.9","21,152.2","21,200.3","20,938.1","","0.32%"
"04/23/2024","20,981.1","20,771.9","21,031.4","20,747.9","","1.51%"
"04/22/2024","20,668.2","20,608.4","20,781.4","20,427.3","","1.02%"
"04/19/2024","20,460.1","20,816.9","20,850.0","20,383.6","","-2.05%"
"04/18/2024","20,888.5","21,033.1","21,124.4","20,867.1","","-0.57%"
"04/17/2024","21,007.7","21,358.6","21,361.9","20,966.8","","-1.24%"
"04/16/2024","21,271.9","21,245.3","21,396.9","21,208.6","","0.04%"
"04/15/2024","21,263.7","21,787.8","21,798.4","21,227.1","","-1.65%"
"04/12/2024","21,620.0","21,757.1","21,815.7","21,558.3","","-1.66%"
"04/11/2024","21,985.6","21,718.0","22,020.7","21,613.7","","1.65%"
"04/10/2024","21,629.7","21,565.2","21,664.7","21,534.6","","-0.87%"
"04/09/2024","21,819.7","21,842.5","21,867.9","21,583.4","","0.39%"
"04/08/2024","21,735.6","21,772.0","21,829.9","21,676.2","","-0.05%"
"04/05/2024","21,745.6","21,543.6","21,859.0","21,510.7","","1.28%"
"04/04/2024","21,469.8","22,012.8","22,050.4","21,466.1","","-1.55%"
"04/03/2024","21,807.6","21,680.6","21,901.8","21,669.7","","0.22%"
"04/02/2024","21,758.9","21,704.4","21,775.4","21,615.4","","-0.93%"
"04/01/2024","21,962.7","21,947.9","22,080.8","21,864.4","","0.21%"
"03/28/2024","21,916.5","21,927.0","21,980.9","21,888.5","","-0.14%"
"03/27/2024","21,947.7","22,016.5","22,023.6","21,812.5","","0.39%"
"03/26/2024","21,861.9","22,004.5","22,063.8","21,858.7","","-0.36%"
"03/25/2024","21,941.8","21,867.9","22,014.1","21,836.4","","-0.34%"
"03/22/2024","22,016.7","21,961.1","22,072.9","21,930.3","","0.10%"
"03/21/2024","21,993.8","22,135.3","22,167.0","21,989.8","","0.44%"
"03/20/2024","21,897.4","21,690.5","21,908.2","21,613.1","","1.17%"
"03/19/2024","21,643.6","21,487.9","21,652.7","21,375.9","","0.26%"
"03/18/2024","21,586.9","21,634.0","21,754.2","21,572.6","","0.99%"
"03/15/2024","21,374.8","21,517.2","21,521.5","21,322.9","","-1.15%"
"03/14/2024","21,622.7","21,742.6","21,776.4","21,501.3","","-0.29%"
"03/13/2024","21,684.8","21,784.8","21,799.1","21,639.1","","-0.83%"
"03/12/2024","21,865.6","21,678.3","21,876.7","21,505.8","","1.49%"
"03/11/2024","21,544.2","21,553.8","21,605.9","21,450.2","","-0.37%"
"03/08/2024","21,624.4","21,977.6","22,102.3","21,596.7","","-1.53%"
"03/07/2024","21,959.8","21,796.3","22,007.8","21,724.0","","1.57%"
"03/06/2024","21,621.0","21,700.1","21,771.3","21,529.8","","0.67%"
"03/05/2024","21,477.3","21,706.3","21,716.9","21,365.3","","-1.80%"
"03/04/2024","21,871.5","21,947.8","21,975.8","21,861.6","","-0.41%"
"03/01/2024","21,961.6","21,681.3","21,998.0","21,675.4","","1.44%"
"02/29/2024","21,650.1","21,587.5","21,679.7","21,437.1","","0.97%"
"02/28/2024","21,441.8","21,466.5","21,509.6","21,400.9","","-0.53%"
"02/27/2024","21,555.8","21,545.7","21,575.6","21,435.9","","0.21%"
"02/26/2024","21,510.5","21,554.8","21,607.4","21,502.5","","-0.02%"
"02/23/2024","21,515.6","21,653.6","21,700.4","21,473.9","","-0.37%"
"02/22/2024","21,596.0","21,419.7","21,632.1","21,360.4","","3.01%"
"02/21/2024","20,964.0","20,884.7","20,967.9","20,772.8","","-0.37%"
"02/20/2024","21,042.9","21,096.9","21,176.0","20,866.9","","-0.79%"
"02/16/2024","21,210.6","21,411.6","21,424.3","21,183.5","","-0.89%"
"02/15/2024","21,401.6","21,365.1","21,424.2","21,253.6","","0.22%"
"02/14/2024","21,353.7","21,259.3","21,362.7","21,128.6","","1.20%"
"02/13/2024","21,101.3","21,004.7","21,241.9","20,954.8","","-1.58%"
"02/12/2024","21,439.7","21,511.2","21,630.1","21,412.1","","-0.44%"
"02/09/2024","21,534.5","21,364.9","21,565.0","21,338.4","","1.02%"
"02/08/2024","21,317.3","21,286.6","21,354.4","21,251.8","","0.17%"
"02/07/2024","21,281.7","21,185.2","21,316.5","21,141.0","","1.04%"
"02/06/2024","21,063.1","21,173.0","21,192.4","20,946.5","","-0.22%"
"02/05/2024","21,110.6","21,136.5","21,161.8","20,938.7","","-0.17%"
"02/02/2024","21,145.9","20,874.1","21,193.4","20,829.1","","1.72%"
"02/01/2024","20,788.7","20,635.7","20,803.2","20,586.3","","1.21%"
"01/31/2024","20,539.4","20,698.4","20,824.7","20,529.2","","-1.94%"
"01/30/2024","20,945.9","21,041.5","21,067.8","20,906.4","","-0.67%"
"01/29/2024","21,087.2","20,897.6","21,096.5","20,869.6","","1.01%"
"01/26/2024","20,877.2","20,891.4","20,989.6","20,846.7","","-0.55%"
"01/25/2024","20,992.2","21,078.9","21,129.3","20,888.4","","0.10%"
"01/24/2024","20,971.0","21,046.6","21,169.9","20,950.3","","0.55%"
"01/23/2024","20,857.1","20,788.5","20,865.1","20,715.4","","0.43%"
"01/22/2024","20,768.6","20,856.4","20,912.3","20,744.0","","0.09%"
"01/19/2024","20,749.0","20,444.8","20,752.8","20,422.8","","1.95%"
"01/18/2024","20,351.5","20,246.0","20,369.1","20,154.7","","1.47%"
"01/17/2024","20,056.6","20,019.8","20,072.0","19,847.2","","-0.56%"
"01/16/2024","20,169.8","20,103.2","20,247.2","20,045.0","","-0.01%"
"01/12/2024","20,172.4","20,198.9","20,253.3","20,105.3","","0.07%"
"01/11/2024","20,158.0","20,195.5","20,250.6","19,915.9","","0.17%"
"01/10/2024","20,124.6","20,016.2","20,165.8","19,958.9","","0.69%"
"01/09/2024","19,987.6","19,811.8","20,026.2","19,789.9","","0.18%"
"01/08/2024","19,952.7","19,598.4","19,959.1","19,592.6","","2.11%"
"01/05/2024","19,540.4","19,511.4","19,671.5","19,472.4","","0.15%"
"01/04/2024","19,511.7","19,522.2","19,676.4","19,505.0","","-0.53%"
"01/03/2024","19,614.8","19,668.4","19,737.7","19,595.2","","-1.05%"
"01/02/2024","19,822.4","19,970.2","19,993.4","19,713.7","","-1.67%"
"12/29/2023","20,158.4","20,250.1","20,270.5","20,076.9","","-0.43%"
"12/28/2023","20,245.1","20,323.0","20,329.8","20,236.6","","-0.04%"
"12/27/2023","20,254.2","20,241.4","20,272.4","20,197.6","","0.17%"
"12/26/2023","20,219.8","20,145.9","20,254.6","20,142.0","","0.60%"
"12/22/2023","20,098.7","20,124.6","20,172.8","20,010.3","","0.12%"
"12/21/2023","20,074.7","20,029.5","20,087.5","19,912.0","","1.23%"
"12/20/2023","19,831.3","20,082.2","20,198.5","19,828.8","","-1.53%"
"12/19/2023","20,140.0","20,047.0","20,141.4","20,046.0","","0.51%"
"12/18/2023","20,037.8","19,919.6","20,079.1","19,917.4","","0.64%"
"12/15/2023","19,910.4","19,866.7","19,965.9","19,830.8","","0.52%"
"12/14/2023","19,807.8","19,886.5","19,955.0","19,665.8","","-0.14%"
"12/13/2023","19,835.7","19,631.9","19,858.1","19,590.0","","1.27%"
"12/12/2023","19,586.5","19,413.3","19,586.5","19,372.4","","0.82%"
"12/11/2023","19,427.0","19,244.8","19,439.6","19,235.5","","0.85%"
"12/08/2023","19,262.8","19,105.0","19,282.2","19,086.7","","0.39%"
"12/07/2023","19,188.4","19,027.6","19,212.3","19,012.3","","1.49%"
"12/06/2023","18,906.7","19,148.8","19,149.7","18,893.4","","-0.56%"
"12/05/2023","19,014.1","18,877.5","19,078.9","18,873.8","","0.24%"
"12/04/2023","18,968.4","18,965.4","18,983.7","18,795.9","","-0.99%"
